#freq[Hz]   abs[m/N]   phase[degree]
0.116546705084   0.0031799906918   -173.98234532
0.116680961706   0.00318158679616   -174.019806701
0.116815372986   0.00318413477198   -174.059474043
0.116949939102   0.00318772307271   -174.101562069
0.117084660232   0.00319245217189   -174.146312782
0.117219536555   0.00319843666685   -174.19399996
0.117354568249   0.00320580784022   -174.2449346
0.117489755494   0.0032147168   -174.299471509
0.117625098468   0.00322533835645   -174.358017379
0.117760597352   0.00323787584563   -174.421040729
0.117896252324   0.00325256718084   -174.489084248
0.118032063565   0.00326969251256   -174.562780259
0.118168031254   0.00328958401867   -174.642870269
0.118304155573   0.00331263854965   -174.730229945
0.1184404367   0.00333933414933   -174.825901361
0.118576874817   0.00337025191105   -174.93113518
0.118713470104   0.00340610529316   -175.047446538
0.118850222744   0.00344778004194   -175.176690246
0.118987132916   0.00349638948489   -175.321163642
0.119124200803   0.00355335256818   -175.483749958
0.119261426586   0.00362050634969   -175.668122388
0.119398810446   0.00370027209352   -175.879041641
0.119536352567   0.00379590730869   -176.122801891
0.119674053131   0.00391190046031   -176.407920791
0.119811912319   0.00405461227729   -176.746247704
0.119949930315   0.00423336401074   -177.154824178
0.120088107301   0.00446238309397   -177.659178424
0.120226443462   0.00476451132305   -178.299554128
0.120364938979   0.00517886238589   -179.143699704
0.120503594037   0.00577836598488   179.68390099
0.12064240882   0.00671602035684   177.924748161
0.120781383511   0.00837401592957   174.933981465
0.120920518294   0.0120215531338   168.522505255
0.121059813355   0.024437270102   144.855953059
0.121199268877   0.0228809783559   46.3850875037
0.121338885046   0.00802569692743   19.0357834826
0.121478662047   0.0039953259041   11.3844867534
0.121618600065   0.0022241766618   6.76830453067
0.121758699285   0.00124159337254   2.02987938271
0.121898959892   0.000626151563002   -6.06342266294
0.122039382074   0.000234598425689   -33.3564785009
0.122179966016   0.000203507248286   -124.368752306
0.122320711905   0.000400340122147   -151.073408814
0.122461619927   0.000574487786006   -158.421077773
0.122602690268   0.000716913098946   -161.807389908
