#Filename : asd_comm_seis.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_comm_seis.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
2.9609375e+00,3.6451832e-04
2.9687500e+00,4.0469448e-04
2.9765625e+00,4.1406712e-04
2.9843750e+00,3.7466304e-04
2.9921875e+00,3.8496186e-04
3.0000000e+00,3.7596464e-04
3.0078125e+00,3.8956869e-04
3.0156250e+00,3.8353923e-04
3.0234375e+00,3.9503670e-04
3.0312500e+00,3.9437912e-04
3.0390625e+00,4.0588894e-04
3.0468750e+00,3.7380592e-04
3.0546875e+00,3.5382981e-04
3.0625000e+00,3.7209263e-04
3.0703125e+00,3.8635423e-04
3.0781250e+00,3.6944979e-04
3.0859375e+00,3.5617167e-04
3.0937500e+00,3.7162817e-04
3.1015625e+00,3.4154188e-04
3.1093750e+00,3.6298933e-04
3.1171875e+00,3.5710099e-04
3.1250000e+00,3.2202298e-04
3.1328125e+00,3.2284463e-04
3.1406250e+00,3.3496969e-04
3.1484375e+00,3.1642000e-04
3.1562500e+00,2.8651516e-04
3.1640625e+00,2.8823054e-04
3.1718750e+00,3.0895489e-04
3.1796875e+00,3.2381455e-04
3.1875000e+00,3.2015728e-04
3.1953125e+00,2.7446237e-04
3.2031250e+00,2.5274638e-04
3.2109375e+00,2.6467805e-04
3.2187500e+00,2.4520522e-04
3.2265625e+00,2.3778464e-04
3.2343750e+00,2.3899397e-04
3.2421875e+00,2.6276135e-04
3.2500000e+00,2.5262930e-04
3.2578125e+00,2.4458472e-04
3.2656250e+00,2.4495245e-04
3.2734375e+00,2.5269243e-04
3.2812500e+00,2.6469095e-04
3.2890625e+00,2.7286651e-04
3.2968750e+00,2.5700702e-04
3.3046875e+00,2.5009046e-04
3.3125000e+00,2.4695794e-04
3.3203125e+00,2.6619392e-04
3.3281250e+00,2.6890754e-04
3.3359375e+00,2.6763560e-04
3.3437500e+00,2.4816452e-04
3.3515625e+00,2.4988367e-04
3.3593750e+00,2.5683349e-04
3.3671875e+00,2.5174785e-04
3.3750000e+00,2.3414305e-04
3.3828125e+00,2.3056903e-04
3.3906250e+00,2.3740330e-04
3.3984375e+00,2.3375114e-04
3.4062500e+00,2.2775726e-04
3.4140625e+00,2.2978125e-04
3.4218750e+00,2.2887753e-04
3.4296875e+00,2.1672840e-04
3.4375000e+00,2.1232734e-04
3.4453125e+00,2.3227324e-04
3.4531250e+00,2.3643098e-04
3.4609375e+00,2.3623227e-04
3.4687500e+00,2.2916718e-04
3.4765625e+00,2.2062509e-04
3.4843750e+00,2.2031369e-04
3.4921875e+00,2.1935463e-04
3.5000000e+00,2.2411031e-04
3.5078125e+00,2.2827750e-04
3.5156250e+00,2.2444225e-04
3.5234375e+00,2.3093936e-04
3.5312500e+00,2.3424852e-04
3.5390625e+00,2.4427352e-04
3.5468750e+00,2.2913316e-04
3.5546875e+00,2.3969454e-04
3.5625000e+00,2.2429899e-04
3.5703125e+00,2.2205133e-04
3.5781250e+00,2.2334323e-04
3.5859375e+00,2.0577173e-04
3.5937500e+00,1.9091224e-04
3.6015625e+00,1.9415716e-04
3.6093750e+00,1.9623511e-04
3.6171875e+00,2.1746139e-04
3.6250000e+00,2.1946168e-04
3.6328125e+00,1.9962413e-04
3.6406250e+00,2.0406450e-04
3.6484375e+00,2.0764813e-04
3.6562500e+00,1.9862328e-04
3.6640625e+00,1.8839951e-04
3.6718750e+00,2.0435841e-04
3.6796875e+00,2.1085240e-04
3.6875000e+00,1.9453850e-04
3.6953125e+00,1.9290154e-04
3.7031250e+00,2.0804558e-04
3.7109375e+00,2.1823956e-04
3.7187500e+00,2.0433570e-04
3.7265625e+00,1.9466843e-04
3.7343750e+00,1.9667879e-04
3.7421875e+00,1.9135125e-04
3.7500000e+00,1.8892564e-04
3.7578125e+00,1.9500095e-04
3.7656250e+00,2.0902558e-04
3.7734375e+00,1.8927651e-04
3.7812500e+00,1.8700020e-04
3.7890625e+00,1.8748013e-04
3.7968750e+00,1.7427618e-04
3.8046875e+00,1.6555026e-04
3.8125000e+00,1.9529505e-04
3.8203125e+00,1.8975384e-04
3.8281250e+00,1.7067464e-04
3.8359375e+00,1.6783148e-04
3.8437500e+00,1.7292994e-04
3.8515625e+00,1.7720696e-04
3.8593750e+00,1.8695427e-04
3.8671875e+00,1.8323845e-04
3.8750000e+00,1.7278449e-04
3.8828125e+00,1.8601120e-04
3.8906250e+00,1.7803255e-04
3.8984375e+00,1.6551281e-04
3.9062500e+00,1.7546528e-04
3.9140625e+00,1.9284641e-04
3.9218750e+00,1.8928693e-04
3.9296875e+00,1.7647999e-04
3.9375000e+00,1.6819106e-04
3.9453125e+00,1.5679192e-04
3.9531250e+00,1.5877620e-04
3.9609375e+00,1.7608143e-04
3.9687500e+00,1.8084440e-04
3.9765625e+00,1.7078393e-04
3.9843750e+00,1.7324317e-04
3.9921875e+00,1.8115542e-04
4.0000000e+00,1.7927334e-04
4.0078125e+00,1.6887108e-04
4.0156250e+00,1.7601518e-04
4.0234375e+00,1.7522029e-04
4.0312500e+00,1.8192181e-04
4.0390625e+00,1.7214939e-04
4.0468750e+00,1.7235404e-04
4.0546875e+00,1.7781210e-04
4.0625000e+00,1.7421782e-04
4.0703125e+00,1.7052471e-04
4.0781250e+00,1.6104128e-04
4.0859375e+00,1.7765702e-04
4.0937500e+00,1.7950636e-04
4.1015625e+00,1.8354511e-04
4.1093750e+00,1.6560381e-04
4.1171875e+00,1.6284578e-04
4.1250000e+00,1.7005719e-04
4.1328125e+00,1.7171911e-04
4.1406250e+00,1.7863773e-04
4.1484375e+00,1.6950564e-04
4.1562500e+00,1.8157403e-04
4.1640625e+00,1.7884456e-04
4.1718750e+00,1.6194752e-04
4.1796875e+00,1.7161567e-04
4.1875000e+00,1.6923905e-04
4.1953125e+00,1.7140173e-04
4.2031250e+00,1.7416053e-04
4.2109375e+00,1.6395949e-04
4.2187500e+00,1.6982693e-04
4.2265625e+00,1.7106706e-04
4.2343750e+00,1.6919062e-04
4.2421875e+00,1.5991320e-04
4.2500000e+00,1.5890213e-04
4.2578125e+00,1.7171324e-04
4.2656250e+00,1.7065358e-04
4.2734375e+00,1.6136202e-04
4.2812500e+00,1.6303048e-04
4.2890625e+00,1.7101477e-04
4.2968750e+00,1.6272679e-04
4.3046875e+00,1.6987306e-04
4.3125000e+00,1.6000091e-04
4.3203125e+00,1.5369602e-04
4.3281250e+00,1.7007959e-04
4.3359375e+00,1.8616470e-04
4.3437500e+00,1.6912509e-04
4.3515625e+00,1.4949389e-04
4.3593750e+00,1.4360978e-04
4.3671875e+00,1.4566307e-04
4.3750000e+00,1.5455957e-04
4.3828125e+00,1.5871035e-04
4.3906250e+00,1.5928893e-04
4.3984375e+00,1.6586107e-04
4.4062500e+00,1.5078860e-04
4.4140625e+00,1.5362944e-04
4.4218750e+00,1.5429582e-04
4.4296875e+00,1.5210566e-04
4.4375000e+00,1.5475775e-04
4.4453125e+00,1.5865984e-04
4.4531250e+00,1.5994071e-04
4.4609375e+00,1.5722191e-04
4.4687500e+00,1.5256567e-04
4.4765625e+00,1.5105915e-04
4.4843750e+00,1.5528806e-04
4.4921875e+00,1.5493552e-04
4.5000000e+00,1.5977280e-04
4.5078125e+00,1.5154804e-04
4.5156250e+00,1.5812210e-04
4.5234375e+00,1.5790998e-04
4.5312500e+00,1.5926509e-04
4.5390625e+00,1.5054072e-04
4.5468750e+00,1.4739080e-04
4.5546875e+00,1.4860802e-04
4.5625000e+00,1.5292689e-04
4.5703125e+00,1.4222247e-04
4.5781250e+00,1.4366040e-04
4.5859375e+00,1.4401788e-04
4.5937500e+00,1.4251768e-04
4.6015625e+00,1.4490251e-04
4.6093750e+00,1.4124156e-04
4.6171875e+00,1.3815488e-04
4.6250000e+00,1.4573277e-04
4.6328125e+00,1.4448192e-04
4.6406250e+00,1.3256411e-04
4.6484375e+00,1.3950982e-04
4.6562500e+00,1.2649596e-04
4.6640625e+00,1.3244335e-04
4.6718750e+00,1.4136856e-04
4.6796875e+00,1.4086606e-04
4.6875000e+00,1.4725608e-04
4.6953125e+00,1.4652538e-04
4.7031250e+00,1.3192283e-04
4.7109375e+00,1.3636288e-04
4.7187500e+00,1.3934335e-04
4.7265625e+00,1.3720191e-04
4.7343750e+00,1.3520093e-04
4.7421875e+00,1.3382551e-04
4.7500000e+00,1.3248657e-04
4.7578125e+00,1.4051871e-04
4.7656250e+00,1.2605564e-04
4.7734375e+00,1.3579053e-04
4.7812500e+00,1.3372966e-04
4.7890625e+00,1.3342757e-04
4.7968750e+00,1.3308040e-04
4.8046875e+00,1.2875183e-04
4.8125000e+00,1.2929281e-04
4.8203125e+00,1.2653056e-04
4.8281250e+00,1.3152827e-04
4.8359375e+00,1.4006841e-04
4.8437500e+00,1.3452139e-04
4.8515625e+00,1.2083168e-04
4.8593750e+00,1.2991141e-04
4.8671875e+00,1.2511204e-04
4.8750000e+00,1.3357237e-04
4.8828125e+00,1.2764912e-04
4.8906250e+00,1.2481600e-04
4.8984375e+00,1.3005917e-04
4.9062500e+00,1.2164191e-04
4.9140625e+00,1.1935881e-04
4.9218750e+00,1.1989621e-04
4.9296875e+00,1.1937227e-04
4.9375000e+00,1.2805811e-04
4.9453125e+00,1.2627293e-04
4.9531250e+00,1.3199034e-04
4.9609375e+00,1.2468376e-04
4.9687500e+00,1.2968834e-04
4.9765625e+00,1.3330446e-04
4.9843750e+00,1.5095922e-04
4.9921875e+00,1.3741329e-04
5.0000000e+00,1.2524160e-04
5.0078125e+00,1.0924171e-04
5.0156250e+00,1.1719773e-04
5.0234375e+00,1.1628441e-04
5.0312500e+00,1.1702248e-04
5.0390625e+00,1.1978639e-04
5.0468750e+00,1.2076390e-04
5.0546875e+00,1.2289858e-04
5.0625000e+00,1.2071184e-04
5.0703125e+00,1.1594018e-04
5.0781250e+00,1.0770941e-04
5.0859375e+00,1.1188340e-04
5.0937500e+00,1.1629707e-04
5.1015625e+00,1.1297169e-04
5.1093750e+00,1.1759090e-04
5.1171875e+00,1.2313735e-04
5.1250000e+00,1.2593864e-04
5.1328125e+00,1.2465823e-04
5.1406250e+00,1.2183585e-04
5.1484375e+00,1.1551287e-04
5.1562500e+00,1.1939933e-04
5.1640625e+00,1.1064789e-04
5.1718750e+00,1.0458217e-04
5.1796875e+00,1.1416127e-04
5.1875000e+00,1.2110825e-04
5.1953125e+00,1.1440762e-04
5.2031250e+00,1.0520091e-04
5.2109375e+00,1.0865654e-04
5.2187500e+00,1.2185254e-04
5.2265625e+00,1.2340907e-04
5.2343750e+00,1.1663082e-04
5.2421875e+00,1.1539907e-04
5.2500000e+00,1.1690572e-04
5.2578125e+00,1.2445626e-04
5.2656250e+00,1.1562386e-04
5.2734375e+00,1.1040699e-04
5.2812500e+00,1.1427461e-04
5.2890625e+00,1.1695483e-04
5.2968750e+00,1.2091798e-04
5.3046875e+00,1.2485204e-04
5.3125000e+00,1.2089171e-04
5.3203125e+00,1.1490505e-04
5.3281250e+00,1.1236927e-04
5.3359375e+00,1.2165177e-04
