#Filename : asd_diff_gif.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_diff_gif.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
3.0937500e+00,1.8741543e-02
3.1015625e+00,1.8357138e-02
3.1093750e+00,1.6631633e-02
3.1171875e+00,2.0252152e-02
3.1250000e+00,2.3777925e-02
3.1328125e+00,2.2542846e-02
3.1406250e+00,2.2687266e-02
3.1484375e+00,2.3300860e-02
3.1562500e+00,2.3559041e-02
3.1640625e+00,2.1922591e-02
3.1718750e+00,2.0167903e-02
3.1796875e+00,2.0675579e-02
3.1875000e+00,2.2169415e-02
3.1953125e+00,2.4319270e-02
3.2031250e+00,2.7698636e-02
3.2109375e+00,2.6514832e-02
3.2187500e+00,2.9593439e-02
3.2265625e+00,3.1280979e-02
3.2343750e+00,2.7915736e-02
3.2421875e+00,2.6652103e-02
3.2500000e+00,2.9158981e-02
3.2578125e+00,3.0275351e-02
3.2656250e+00,2.9274473e-02
3.2734375e+00,2.9380901e-02
3.2812500e+00,3.0886186e-02
3.2890625e+00,3.0578865e-02
3.2968750e+00,2.9064984e-02
3.3046875e+00,3.0784473e-02
3.3125000e+00,2.9788220e-02
3.3203125e+00,2.5635123e-02
3.3281250e+00,2.5790449e-02
3.3359375e+00,2.5444466e-02
3.3437500e+00,2.2518262e-02
3.3515625e+00,2.4868975e-02
3.3593750e+00,2.4857574e-02
3.3671875e+00,2.6142726e-02
3.3750000e+00,2.7494272e-02
3.3828125e+00,2.4989337e-02
3.3906250e+00,2.3950499e-02
3.3984375e+00,2.2786047e-02
3.4062500e+00,2.2966746e-02
3.4140625e+00,2.6331444e-02
3.4218750e+00,2.4732273e-02
3.4296875e+00,2.3359753e-02
3.4375000e+00,2.3424852e-02
3.4453125e+00,2.3542562e-02
3.4531250e+00,2.9426291e-02
3.4609375e+00,3.4159774e-02
3.4687500e+00,3.6734359e-02
3.4765625e+00,3.7948459e-02
3.4843750e+00,3.3938797e-02
3.4921875e+00,3.1249051e-02
3.5000000e+00,3.2850981e-02
3.5078125e+00,3.5891547e-02
3.5156250e+00,3.5236522e-02
3.5234375e+00,3.4299080e-02
3.5312500e+00,3.4475744e-02
3.5390625e+00,3.5102929e-02
3.5468750e+00,3.3031560e-02
3.5546875e+00,3.5003052e-02
3.5625000e+00,3.6105398e-02
3.5703125e+00,3.1113148e-02
3.5781250e+00,2.9204736e-02
3.5859375e+00,3.0491402e-02
3.5937500e+00,2.6531838e-02
3.6015625e+00,2.2804252e-02
3.6093750e+00,2.3354974e-02
3.6171875e+00,2.4987143e-02
3.6250000e+00,2.5012174e-02
3.6328125e+00,2.3145268e-02
3.6406250e+00,2.5062652e-02
3.6484375e+00,2.3613945e-02
3.6562500e+00,2.0606194e-02
3.6640625e+00,2.2025770e-02
3.6718750e+00,2.1087504e-02
3.6796875e+00,2.1729563e-02
3.6875000e+00,2.6616001e-02
3.6953125e+00,2.8461608e-02
3.7031250e+00,2.4996214e-02
3.7109375e+00,2.1823979e-02
3.7187500e+00,2.4711140e-02
3.7265625e+00,2.9037648e-02
3.7343750e+00,2.7683349e-02
3.7421875e+00,2.4069251e-02
3.7500000e+00,2.3830153e-02
3.7578125e+00,2.2936158e-02
3.7656250e+00,2.3875134e-02
3.7734375e+00,2.4810180e-02
3.7812500e+00,2.5497574e-02
3.7890625e+00,2.5662238e-02
3.7968750e+00,2.2727571e-02
3.8046875e+00,2.0098000e-02
3.8125000e+00,2.1327907e-02
3.8203125e+00,1.9875936e-02
3.8281250e+00,2.1581126e-02
3.8359375e+00,2.2852258e-02
3.8437500e+00,2.1582270e-02
3.8515625e+00,2.3705401e-02
3.8593750e+00,2.7311405e-02
3.8671875e+00,2.8634601e-02
3.8750000e+00,2.8315617e-02
3.8828125e+00,2.8637836e-02
3.8906250e+00,2.8556813e-02
3.8984375e+00,2.7683805e-02
3.9062500e+00,2.5407721e-02
3.9140625e+00,2.5542286e-02
3.9218750e+00,2.7214258e-02
3.9296875e+00,2.5291425e-02
3.9375000e+00,2.1209086e-02
3.9453125e+00,1.7984441e-02
3.9531250e+00,1.8087691e-02
3.9609375e+00,1.6153093e-02
3.9687500e+00,1.6744031e-02
3.9765625e+00,1.8756191e-02
3.9843750e+00,1.8068603e-02
3.9921875e+00,1.7712468e-02
4.0000000e+00,1.9311253e-02
4.0078125e+00,1.7500822e-02
