# frequency[Hz], mag, phase[deg]
3.69963e+00 8.78870e-04 -1.73815e+02 
3.70963e+00 8.72278e-04 -1.73793e+02 
3.71963e+00 8.65741e-04 -1.73770e+02 
3.72963e+00 8.59257e-04 -1.73748e+02 
3.73963e+00 8.52827e-04 -1.73725e+02 
3.74963e+00 8.46448e-04 -1.73702e+02 
3.75962e+00 8.40122e-04 -1.73680e+02 
3.76962e+00 8.33846e-04 -1.73656e+02 
3.77962e+00 8.27622e-04 -1.73633e+02 
3.78962e+00 8.21447e-04 -1.73610e+02 
3.79962e+00 8.15323e-04 -1.73586e+02 
3.80962e+00 8.09247e-04 -1.73563e+02 
3.81962e+00 8.03220e-04 -1.73539e+02 
3.82962e+00 7.97241e-04 -1.73515e+02 
3.83962e+00 7.91309e-04 -1.73490e+02 
3.84962e+00 7.85425e-04 -1.73466e+02 
3.85961e+00 7.79587e-04 -1.73442e+02 
3.86961e+00 7.73795e-04 -1.73417e+02 
3.87961e+00 7.68048e-04 -1.73392e+02 
3.88961e+00 7.62347e-04 -1.73367e+02 
3.89961e+00 7.56690e-04 -1.73342e+02 
3.90961e+00 7.51078e-04 -1.73316e+02 
3.91961e+00 7.45509e-04 -1.73291e+02 
3.92961e+00 7.39984e-04 -1.73265e+02 
3.93961e+00 7.34501e-04 -1.73239e+02 
3.94961e+00 7.29060e-04 -1.73213e+02 
3.95960e+00 7.23662e-04 -1.73187e+02 
3.96960e+00 7.18305e-04 -1.73160e+02 
3.97960e+00 7.12989e-04 -1.73133e+02 
3.98960e+00 7.07714e-04 -1.73106e+02 
3.99960e+00 7.02479e-04 -1.73079e+02 
4.00960e+00 6.97284e-04 -1.73052e+02 
4.01960e+00 6.92128e-04 -1.73025e+02 
4.02960e+00 6.87011e-04 -1.72997e+02 
4.03960e+00 6.81933e-04 -1.72969e+02 
4.04960e+00 6.76894e-04 -1.72941e+02 
4.05959e+00 6.71892e-04 -1.72913e+02 
4.06959e+00 6.66927e-04 -1.72885e+02 
4.07959e+00 6.62000e-04 -1.72856e+02 
4.08959e+00 6.57110e-04 -1.72827e+02 
4.09959e+00 6.52256e-04 -1.72798e+02 
4.10959e+00 6.47438e-04 -1.72769e+02 
4.11959e+00 6.42655e-04 -1.72739e+02 
4.12959e+00 6.37908e-04 -1.72710e+02 
4.13959e+00 6.33196e-04 -1.72680e+02 
4.14959e+00 6.28519e-04 -1.72650e+02 
4.15958e+00 6.23875e-04 -1.72619e+02 
4.16958e+00 6.19266e-04 -1.72589e+02 
4.17958e+00 6.14691e-04 -1.72558e+02 
4.18958e+00 6.10149e-04 -1.72527e+02 
4.19958e+00 6.05639e-04 -1.72496e+02 
4.20958e+00 6.01163e-04 -1.72464e+02 
4.21958e+00 5.96719e-04 -1.72433e+02 
4.22958e+00 5.92307e-04 -1.72401e+02 
4.23958e+00 5.87927e-04 -1.72369e+02 
4.24958e+00 5.83578e-04 -1.72336e+02 
4.25957e+00 5.79260e-04 -1.72304e+02 
4.26957e+00 5.74973e-04 -1.72271e+02 
4.27957e+00 5.70717e-04 -1.72238e+02 
4.28957e+00 5.66491e-04 -1.72204e+02 
4.29957e+00 5.62295e-04 -1.72171e+02 
4.30957e+00 5.58129e-04 -1.72137e+02 
4.31957e+00 5.53992e-04 -1.72103e+02 
4.32957e+00 5.49884e-04 -1.72068e+02 
4.33957e+00 5.45805e-04 -1.72034e+02 
4.34957e+00 5.41755e-04 -1.71999e+02 
4.35956e+00 5.37733e-04 -1.71964e+02 
4.36956e+00 5.33740e-04 -1.71928e+02 
4.37956e+00 5.29774e-04 -1.71892e+02 
4.38956e+00 5.25836e-04 -1.71857e+02 
4.39956e+00 5.21925e-04 -1.71820e+02 
4.40956e+00 5.18041e-04 -1.71784e+02 
4.41956e+00 5.14184e-04 -1.71747e+02 
4.42956e+00 5.10353e-04 -1.71710e+02 
4.43956e+00 5.06549e-04 -1.71672e+02 
4.44956e+00 5.02772e-04 -1.71635e+02 
4.45955e+00 4.99019e-04 -1.71597e+02 
4.46955e+00 4.95293e-04 -1.71558e+02 
4.47955e+00 4.91592e-04 -1.71520e+02 
4.48955e+00 4.87916e-04 -1.71481e+02 
4.49955e+00 4.84265e-04 -1.71442e+02 
4.50955e+00 4.80639e-04 -1.71402e+02 
4.51955e+00 4.77038e-04 -1.71362e+02 
4.52955e+00 4.73461e-04 -1.71322e+02 
4.53955e+00 4.69907e-04 -1.71282e+02 
4.54955e+00 4.66378e-04 -1.71241e+02 
4.55954e+00 4.62872e-04 -1.71200e+02 
4.56954e+00 4.59390e-04 -1.71158e+02 
4.57954e+00 4.55931e-04 -1.71116e+02 
4.58954e+00 4.52496e-04 -1.71074e+02 
4.59954e+00 4.49083e-04 -1.71032e+02 
4.60954e+00 4.45692e-04 -1.70989e+02 
4.61954e+00 4.42324e-04 -1.70946e+02 
4.62954e+00 4.38979e-04 -1.70902e+02 
4.63954e+00 4.35655e-04 -1.70858e+02 
4.64954e+00 4.32354e-04 -1.70814e+02 
4.65953e+00 4.29074e-04 -1.70769e+02 
4.66953e+00 4.25815e-04 -1.70724e+02 
4.67953e+00 4.22578e-04 -1.70679e+02 
4.68953e+00 4.19362e-04 -1.70633e+02 
4.69953e+00 4.16167e-04 -1.70587e+02 
4.70953e+00 4.12993e-04 -1.70540e+02 
4.71953e+00 4.09839e-04 -1.70493e+02 
4.72953e+00 4.06706e-04 -1.70446e+02 
4.73953e+00 4.03593e-04 -1.70398e+02 
4.74953e+00 4.00500e-04 -1.70350e+02 
4.75953e+00 3.97428e-04 -1.70301e+02 
4.76952e+00 3.94375e-04 -1.70252e+02 
4.77952e+00 3.91341e-04 -1.70203e+02 
4.78952e+00 3.88327e-04 -1.70153e+02 
4.79952e+00 3.85332e-04 -1.70102e+02 
4.80952e+00 3.82357e-04 -1.70051e+02 
4.81952e+00 3.79400e-04 -1.70000e+02 
4.82952e+00 3.76462e-04 -1.69948e+02 
4.83952e+00 3.73543e-04 -1.69896e+02 
4.84952e+00 3.70642e-04 -1.69844e+02 
4.85951e+00 3.67760e-04 -1.69790e+02 
4.86951e+00 3.64896e-04 -1.69737e+02 
4.87951e+00 3.62050e-04 -1.69683e+02 
4.88951e+00 3.59222e-04 -1.69628e+02 
4.89951e+00 3.56411e-04 -1.69573e+02 
4.90951e+00 3.53618e-04 -1.69517e+02 
4.91951e+00 3.50843e-04 -1.69461e+02 
4.92951e+00 3.48085e-04 -1.69404e+02 
4.93951e+00 3.45345e-04 -1.69347e+02 
4.94951e+00 3.42621e-04 -1.69290e+02 
4.95950e+00 3.39914e-04 -1.69231e+02 
4.96950e+00 3.37224e-04 -1.69172e+02 
4.97950e+00 3.34551e-04 -1.69113e+02 
4.98950e+00 3.31894e-04 -1.69053e+02 
4.99950e+00 3.29254e-04 -1.68992e+02 
5.00950e+00 3.26630e-04 -1.68931e+02 
5.01950e+00 3.24022e-04 -1.68870e+02 
5.02950e+00 3.21430e-04 -1.68807e+02 
5.03950e+00 3.18855e-04 -1.68744e+02 
5.04950e+00 3.16294e-04 -1.68681e+02 
5.05949e+00 3.13750e-04 -1.68617e+02 
5.06949e+00 3.11221e-04 -1.68552e+02 
5.07949e+00 3.08708e-04 -1.68486e+02 
5.08949e+00 3.06209e-04 -1.68420e+02 
5.09949e+00 3.03727e-04 -1.68353e+02 
5.10949e+00 3.01259e-04 -1.68286e+02 
5.11949e+00 2.98806e-04 -1.68218e+02 
5.12949e+00 2.96368e-04 -1.68149e+02 
5.13949e+00 2.93944e-04 -1.68079e+02 
5.14949e+00 2.91536e-04 -1.68009e+02 
5.15948e+00 2.89142e-04 -1.67938e+02 
5.16948e+00 2.86762e-04 -1.67866e+02 
5.17948e+00 2.84397e-04 -1.67794e+02 
5.18948e+00 2.82045e-04 -1.67721e+02 
5.19948e+00 2.79708e-04 -1.67647e+02 
5.20948e+00 2.77385e-04 -1.67572e+02 
5.21948e+00 2.75076e-04 -1.67496e+02 
5.22948e+00 2.72781e-04 -1.67420e+02 
5.23948e+00 2.70499e-04 -1.67342e+02 
5.24948e+00 2.68231e-04 -1.67264e+02 
5.25948e+00 2.65976e-04 -1.67185e+02 
5.26947e+00 2.63735e-04 -1.67106e+02 
5.27947e+00 2.61507e-04 -1.67025e+02 
5.28947e+00 2.59293e-04 -1.66944e+02 
5.29947e+00 2.57091e-04 -1.66861e+02 
5.30947e+00 2.54903e-04 -1.66778e+02 
5.31947e+00 2.52727e-04 -1.66693e+02 
5.32947e+00 2.50565e-04 -1.66608e+02 
5.33947e+00 2.48415e-04 -1.66522e+02 
5.34947e+00 2.46278e-04 -1.66435e+02 
5.35946e+00 2.44153e-04 -1.66346e+02 
