#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
0.96875 3.34328E-09 4.17065E-09 6.13004E-09 3.56373E-09 3.00185E-09 8.20161E-09
0.9765625 4.07382E-09 3.7971E-09  6.85883E-09 4.10103E-09 3.54657E-09 6.84449E-09
0.984375  3.06025E-09 3.56437E-09 7.47003E-09 3.71055E-09 2.48521E-09 5.1125E-09
0.9921875 2.32295E-09 2.04325E-09 5.18663E-09 3.20469E-09 2.35564E-09 3.15299E-09
1 2.10205E-09 3.29668E-09 4.78246E-09 2.82755E-09 3.0533E-09  4.08196E-09
1.0078125 1.63788E-09 2.67853E-09 5.38596E-09 1.68066E-09 2.8338E-09  4.43015E-09
1.015625  3.32497E-09 2.11441E-09 5.27051E-09 2.47742E-09 1.974E-09 4.25735E-09
1.0234375 4.27911E-09 3.25291E-09 4.03873E-09 2.13145E-09 2.77049E-09 3.43192E-09
1.03125 2.83708E-09 3.46453E-09 6.09802E-09 1.81596E-09 3.06837E-09 4.78113E-09
1.0390625 2.63897E-09 2.78187E-09 6.45386E-09 2.25468E-09 2.06585E-09 4.38256E-09
1.046875  2.97685E-09 3.04663E-09 4.5163E-09  1.75207E-09 1.71363E-09 4.03173E-09
1.0546875 2.36251E-09 2.68643E-09 5.80953E-09 2.18472E-09 2.0366E-09  4.36632E-09
1.0625  1.52541E-09 1.83125E-09 4.28169E-09 1.89806E-09 2.16366E-09 3.72362E-09
1.0703125 2.30774E-09 1.68773E-09 1.8741E-09  1.73514E-09 1.87057E-09 3.62902E-09
1.078125  3.48402E-09 1.80885E-09 2.45357E-09 1.61176E-09 2.53602E-09 2.89195E-09
1.0859375 3.1843E-09  2.16808E-09 3.78206E-09 1.5002E-09  1.97365E-09 2.70646E-09
1.09375 2.29312E-09 3.91549E-09 4.62233E-09 1.61911E-09 1.22445E-09 1.63907E-09
1.1015625 1.93292E-09 2.61511E-09 4.80716E-09 2.00938E-09 1.25791E-09 2.53489E-09
1.109375  1.85711E-09 1.84537E-09 3.10133E-09 2.03467E-09 1.83612E-09 3.30853E-09
